순위,업소명,주소,분류,외지인 검색 수
1,동화가든,강원 강릉시 초당순두부길77번길 15-0,한식,141365
2,강릉커피거리,강원 강릉시,먹거리기타,111199
3,카페툇마루,강원 강릉시 난설헌로 232-0,카페기타,89966
4,테라로사커피공장강릉본점,강원 강릉시 현천길 7-0,커피전문점,83281
5,엄지네포장마차본점,강원 강릉시 경강로2255번길 21-0,음식점기타,62087
6,곳,강원 강릉시 진리해변길 143-0,카페기타,42426
7,초당두부마을,강원 강릉시,먹거리기타,31360
8,테라로사경포호수점,강원 강릉시 난설헌로 145-0,커피전문점,25366
9,스타벅스강릉강문해변점,강원 강릉시 창해로350번길 3-0,커피전문점,24844
10,장안횟집,강원 강릉시 진리항구길 51-0,전문음식점,23942
11,갤러리밥스,강원 강릉시 난설헌로 144-0,한식,23632
12,강릉빵다방본점,강원 강릉시 남강초교1길 24-0,제과점,21655
13,보헤미안로스터즈박이추커피공장,강원 강릉시 해안로 1107-0,카페기타,20716
14,테라로사사천점,강원 강릉시 순포안길 6-0,커피전문점,20606
15,현대장칼국수,강원 강릉시 임영로182번길 7-1,한식,20034
16,초당할머니순두부,강원 강릉시 초당순두부길 77-0,한식,19924
17,순두부젤라또1호점,강원 강릉시 초당순두부길 95-5,카페기타,19343
18,벌집,강원 강릉시 경강로2069번길 15-0,한식,18132
19,순두부젤라또2호점,강원 강릉시 경강로 2642-0,카페기타,18066
20,풍년갈비,강원 강릉시 강릉대로587번길 10-5,한식,17517
21,초당소나무집,강원 강릉시 초당순두부길 95-5,한식,17031
22,형제칼국수,강원 강릉시 강릉대로204번길 2-0,한식,16457
23,교동반점[중식],강원 강릉시 강릉대로 205-0,중식,15720
24,스타벅스강릉송정DT점,강원 강릉시 경강로 2400-0,커피전문점,15570
25,차현희순두부청국장,강원 강릉시 초당순두부길 98-0,한식,15542
26,해미가,강원 강릉시 솔올로 103-0,한식,14026
27,테라로사경포대점,강원 강릉시 창해로 419-0,커피전문점,12711
28,만동제과,강원 강릉시 금성로 6-0,제과점,12445
29,도깨비시장,강원 강릉시 학교담길 32-8,카페기타,12365
30,만석닭강정안목직영점,강원 강릉시 창해로2번길 32-0,음식점기타,12282
31,폴&메리강문점,강원 강릉시 창해로350번길 33-0,패스트푸드,11080
32,동해기정떡,강원 강릉시 교동광장로 29-0,음식점기타,10881
33,커피바다,강원 강릉시 해안로 1822-0,카페기타,10826
34,보사노바커피로스터스,강원 강릉시 창해로14번길 28-0,카페기타,10037
35,이모네생선찜,강원 강릉시 가작로 8-0,한식,10033
36,스타벅스강릉안목항점,강원 강릉시 창해로14번길 40-0,커피전문점,10020
37,강릉교동짬뽕[중식],강원 강릉시 하슬라로232번길 26-12,중식,9898
38,강릉수제버거,강원 강릉시 주문북로 222-30,패스트푸드,9850
39,삼교리동치미막국수본점,강원 강릉시 범일로 364-0,한식,9827
40,철뚝소머리국밥,강원 강릉시 철둑길 42-0,한식,9651
41,정은숙초당순두부,강원 강릉시 난설헌로 200-0,한식,9623
42,엄지네포장마차본점,강원 강릉시 경강로2255번길 21-0,한식,9540
43,9남매두부집,강원 강릉시 초당원길 63-2,한식,9524
44,버거킹강릉교동SK점,강원 강릉시 하슬라로 159-0,패스트푸드,9235
45,강릉불고기초당점,강원 강릉시 초당순두부길 2-0,한식,9162
46,금학칼국수,강원 강릉시 대학길 12-6,한식,9131
47,돌체테리아,강원 강릉시 하슬라로206번길 4-3,카페기타,9031
48,스타벅스강릉교동광장점,강원 강릉시 교동광장로 114-0,커피전문점,8900
49,본가동해막국수본점,강원 강릉시 성안길 47-3,한식,8651
50,연곡꾹저구탕,강원 강릉시 진고개로 2679-0,한식,8618
51,맥도날드강릉,강원 강릉시 경강로 2097-0,패스트푸드,8594
52,346커피스토리,강원 강릉시 창해로 346-0,카페기타,8559
53,초당버거,강원 강릉시 초당순두부길77번길 20-0,패스트푸드,8527
54,카페오두막,강원 강릉시 해안로 656-1,카페기타,8399
55,토박이할머니순두부,강원 강릉시 초당순두부길 47-0,한식,8255
56,카페바우,강원 강릉시 해안로 1437-0,카페기타,8147
57,제주해인물회,강원 강릉시 진리해변길 68-9,전문음식점,8045
58,강릉갈비찜,강원 강릉시 위촌길 55-0,한식,7765
59,강릉엄지네꼬막집1호점,강원 강릉시 남구길30번길 22-0,한식,7735
60,실비생선구이본점,강원 강릉시 해안로 1723-0,한식,7731
61,오드커피,강원 강릉시 해안로 1597-0,카페기타,7696
62,버드나무브루어리,강원 강릉시 경강로 1961-0,음식점기타,7635
63,삼교리동치미막국수,강원 강릉시 공항길127번길 42-0,한식,7548
64,큰기와집[한식],강원 강릉시 정동등명길 3-0,한식,7372
65,동해막국수강문점,강원 강릉시 창해로350번길 25-0,한식,6943
66,김우정초당짬뽕순두부,강원 강릉시 초당순두부길 114-0,한식,6860
67,강문가,강원 강릉시 초당원길 17-0,전문음식점,6819
68,독도네본점,강원 강릉시 옥천로 47-0,전문음식점,6795
69,퍼베이드,강원 강릉시 화부산로 78-0,카페기타,6772
70,풍호맛뜨락본점,강원 강릉시 임영로 10-0,전문음식점,6644
71,최대게본점,강원 강릉시 해안로 1729-0,전문음식점,6573
72,동일장칼국수,강원 강릉시 강변로534번길 61-0,한식,6447
73,차현희순두부청국장본점,강원 강릉시 초당순두부길 98-0,한식,6401
74,염전횟집,강원 강릉시 염전길 147-0,전문음식점,6398
75,감자바우,강원 강릉시 금성로35번길 4-0,한식,6212
76,이만구교동짬뽕[중식],강원 강릉시 강릉대로 199-8,중식,6037
77,농촌순두부,강원 강릉시 초당순두부길 108-0,한식,5964
78,삼교리동치미막국수교동점,강원 강릉시 경포로15번길 6-19,한식,5865
79,감자적1번지,강원 강릉시 공항길29번길 7-0,한식,5571
80,대동면옥,강원 강릉시 연주로 438-0,한식,5555
81,고성생선찜,강원 강릉시 성덕포남로 56-0,한식,5523
82,강문떡갈비,강원 강릉시 창해로 360-1,한식,5413
83,오핑하우스,강원 강릉시 해안로 1459-0,카페기타,5402
84,고분옥할머니순두부,강원 강릉시 초당순두부길77번길 16-0,한식,5378
85,주문진활어회센터,강원 강릉시 해안로 1757-0,전문음식점,5355
86,복사꽃싸롱,강원 강릉시 학교담길 32-8,카페기타,5331
87,금천칼국수,강원 강릉시 강릉대로 445-1,한식,5300
88,강릉전복해물뚝배기,강원 강릉시 창해로350번길 5-0,전문음식점,5299
89,태백산맥식당,강원 강릉시 해안로 517-0,한식,5259
90,바로방,강원 강릉시 경강로 2092-0,제과점,5241
91,24프레임,강원 강릉시 난설헌로 73-0,카페기타,5202
92,오월에초당,강원 강릉시 난설헌로 234-5,한식,5156
93,베이커리가루,강원 강릉시 솔올로 3-0,제과점,5140
94,팔도전복해물뚝배기,강원 강릉시 창해로 375-0,한식,5115
95,강릉해파랑,강원 강릉시 창해로350번길 17-0,전문음식점,5102
96,미르마르본점,강원 강릉시 창해로14번길 22-0,카페기타,5076
97,썸머키친,강원 강릉시 죽헌길 67-6,음식점기타,4988
98,항구마차,강원 강릉시,한식,4980
99,오월커피,강원 강릉시 경강로2046번길 11-2,카페기타,4971
100,강릉불고기,강원 강릉시 풍호길 270-0,한식,4912
